Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Your main technology / programming language,Main language at work,Company size,Company type,Totalcomp
30,Male,Berlin,Software Engineer,8,3,Senior,JavaScript,English,101-1000,Product,80000
28,Male,Berlin,Backend Developer,5,1,Senior,Kotlin,English,101-1000,Startup,75000
38,Male,Berlin,DevOps,10,5,Senior,Go/Python,English,51-100,Startup,70000
29,Male,Berlin,Frontend Developer,7,2,Senior,React,English,1000+,Product,84000
49,Male,Berlin,Software Engineer,15,15,Senior,Java,German,1000+,Product,68500
32,Male,Berlin,Frontend Developer,10,5,Senior,TypeScript,English,101-1000,Product,105000
33,Female,Berlin,Software Engineer,12,5,Senior,С#,English,1000+,Product,123200
30,Male,Berlin,Software Engineer,6,3,Senior,Java,English,1000+,Product,89000
48,Male,Berlin,Software Engineer,25,11,Senior,Java,English,101-1000,Product,75000
32,Male,Berlin,Backend Developer,3,1,Middle,Java,English,101-1000,Product,77000
31,Male,Berlin,Software Engineer,7,3,Lead,Python,English,101-1000,Startup,86000
35,Male,Berlin,Backend Developer,10,7,Senior,Ruby,English,101-1000,Product,75000
28,Female,Berlin,Designer (UI/UX),7,7,Middle,Figma,German,1000+,Product,45000
32,Male,Berlin,Backend Developer,8,5,Senior,PHP,English,11-50,Product,65000
44,Male,Berlin,Backend Developer,12,3,Senior,Java,English,11-50,Product,68000
35,Male,Munich,Software Engineer,11,3,Senior,Php,German,101-1000,Product,70000
29,Male,Berlin,Software Engineer,5,3,Senior,Go,English,101-1000,Product,75000
66,Male,Munich,Software Engineer,40,4,Lead,ruby on rails,German,51-100,Product,70000
39,Female,Berlin,Software Engineer,10,10,Senior,Java,German,101-1000,Consulting / Agency,71500
28,Male,Munich,Backend Developer,5,4,Senior,Kotlin,English,101-1000,Product,72000
34,Male,Munich,Frontend Developer,5,5,Senior,JavaScript/ES6,English,11-50,Product,73500
34,Male,Munich,Software Engineer,13,3,Lead,.NET,English,51-100,Product,144000
32,Male,Munich,Frontend Developer,7,5,Senior,Javascript,German,101-1000,Consulting / Agency,62000
38,Male,Stuttgart,Hardware Engineer,15,5,Lead,Hardware,English,1000+,Product,83000
45,Male,Schleswig-Holstein,Software Engineer,26,18,Senior,C#,German,1000+,Product,103000
28,Male,Berlin,Software Engineer,3,2,Middle,Js,English,11-50,Startup,55000
29,Male,Konstanz area,Mobile Developer,6,3,Middle,android,English,11-50,Startup,53000
36,Male,Munich,Backend Developer,15,3,Senior,java,English,1000+,Product,55000
39,Male,Berlin,Software Engineer,10,2,Senior,C#,German,1000+,Consulting / Agency,75000
29,Male,Munich,Software Engineer,7,3,Senior,JavaScript ,English,1000+,Product,85000
31,Male,Berlin,Engineering Manager,11,6,Lead,Java,English,101-1000,Startup,80000
30,Male,Berlin,Backend Developer,5,5,Middle,Java,English,1000+,Product,55000
33,Male,Frankfurt,Software Engineer,4,0,Middle,Java,English,11-50,Consulting / Agency,50000
27,Male,Berlin,Software Engineer,5,1,Senior,Scala,English,1000+,Startup,78000
26,Female,Munich,Data Scientist,6,2,Middle,python,English,1000+,Product,70000
26,Male,Berlin,Software Engineer,8,3,Lead,Go,English,1000+,Product,85000
31,Female,Berlin,Analytics engineer,6,2,Middle,SQL,English,101-1000,Startup,60000
30,Male,Berlin,Software Engineer,10,2,Senior,Scala,English,101-1000,Product,72000
43,Male,Berlin,Mobile Developer,5,3,Senior,Kotlin,English,1000+,Product,72000
33,Male,Berlin,Software Engineer,5,1,Middle,python,English,101-1000,Product,65000
24,Male,Berlin,Data Scientist,4,2,Senior,Python,English,101-1000,Startup,146000
29,Male,Berlin,DevOps,7,1,Lead,Kubernetes,English,101-1000,Product,88000
29,Male,Berlin,Data Scientist,4,4,Senior,Python,English,101-1000,Product,81000
30,Male,Munich,Hardware Engineer,5,5,Senior,VHDL,English,101-1000,Product,85000
35,Female,Berlin,Reporting Engineer,3,2,Middle,Power BI,German,1000+,Product,58000
33,Male,Munich,QA Engineer,5,1,Senior,Java,English,1000+,Product,60000
28,Male,Berlin,Software Engineer,8,3,Lead,PHP ,English,101-1000,Product,80000
31,Female,Munich,agile master ,14,7,Middle,none,German,1000+,Product,80000
32,Male,Munich,Software Engineer,7,3,Senior,Android,English,51-100,Product,60000
30,Male,Berlin,Backend Developer,8,2.5,Senior,Scala,English,1000+,Product,80000
26,Male,Munich,Backend Developer,7,"1,5",Senior,Java,English,101-1000,Product,82000
31,Male,Munich,Software Engineer,10,2,Senior,Java,English,1000+,Product,68000
38,Female,Munich,QA Engineer,6,2,Middle,Java,English,1000+,Product,62000
37,Male,Berlin,Software Engineer,10,3,Senior,PHP,English,11-50,Startup,55000
25,Male,Munich,Software Engineer,3,1,Middle,Java,English,101-1000,Product,62000
36,Male,Berlin,Frontend Developer,12,4,Senior,JavaScript,English,up to 10,Startup,72000
27,Male,Munich,QA Engineer,5,1,Senior,Swift,English,1000+,Product,63800
35,Male,Frankfurt,ML Engineer,12,10,Senior,ML,English,1000+,Product,150000
37,Male,Munich,Software Engineer,15,2,Senior,php,German,101-1000,Product,75000
26,Male,Munich,Data Scientist,3,2,Middle,Python,English,101-1000,Product,72000
33,Male,Frankfurt,Solution Architect,6,6,Middle,Python,English,1000+,Product,125000
34,Male,Berlin,Frontend Developer,7,1,Senior,JavaScript,English,up to 10,Startup,65000
33,Male,Berlin,Backend Developer,12,6,Lead,PHP,English,101-1000,Product,65000
29,Male,Berlin,Backend Developer,8,0,Senior,Scala,English,101-1000,Startup,72000
24,Male,Munich,Software Engineer,5,2,Middle,C++,English,1000+,Product,135000
30,Female,Berlin,Software Engineer,8,2,Senior,"Scala, React.js",English,101-1000,Product,75000
28,Male,Cologne,BI Consultant,8,1,Senior,SQL,English,up to 10,Consulting / Agency,72000
31,Male,Munich,Backend Developer,11,1,Senior,PHP,English,1000+,Product,84000
28,Male,Munich,Mobile Developer,5,3,Senior,iOS,English,1000+,Product,65000
32,Female,Kempten,Fullstack Developer,10,1,Middle,C#,English and German,51-100,Product,49000
28,Male,Berlin,Software Engineer,6,2,Senior,Java,English,11-50,Startup,140000
26,Female,Munich,Data Scientist,3,1,Junior,Ml/Python,English,1000+,Product,82000
33,Male,Berlin,Mobile Developer,6,4,Middle,Swift,English,101-1000,Product,69300
31,Male,Berlin,Software Engineer,9,1,Senior,"C#, .net core",English,11-50,Startup,66000
30,Male,Munich,Frontend Developer,6,1,Senior,Javascript,English,51-100,Product,75101
31,Male,Berlin,Frontend Developer,8,1,Senior,JavaScript/TypeScript,English,101-1000,Startup,70101
37,Male,Munich,Backend Developer,12,4,Senior,php,English,101-1000,Product,67000
25,Male,Munich,Backend Developer,5,0,Senior,Java,English,101-1000,Product,80000
36,Male,Berlin,Backend Developer,19,5,Senior,PHP,English,101-1000,Product,69000
40,Male,Berlin,Frontend Developer,7,1,Middle,Javascript,English,11-50,Product,54000
35,Male,Munich,Software Engineer,13,4,Senior,Java,English,101-1000,Product,81500
42,Male,Berlin,Software Engineer,20,5,Senior,Ruby on Rails,German,51-100,Product,80000
34,Male,Berlin,QA Engineer,10,4,Senior,Java,English,101-1000,Startup,78000
30,Male,Berlin,Backend Developer,6,2,Senior,Ruby,English,101-1000,Product,150000
35,Male,Berlin,Software Engineer,12,1,Senior,C#,English,1000+,Product,92000
34,Male,Munich,Cloud Architect,10,4,Senior,"Azure, SAP",English,1000+,Cloud,160000
26,Male,Münster,Data Scientist,5.5,3,Junior,Python,German,1000+,Product,50000
35,Male,Berlin,Frontend Developer,4,1,Middle,JavaScript,English,101-1000,Product,55000
31,Female,Munich,QA Engineer,7,3,Senior,Java,English,1000+,Product,68000
35,Male,Frankfurt,Software Engineer,12,3,Senior,java,German,51-100,Consulting / Agency,66000
25,Male,Berlin,Backend Developer,4,1,Middle,Python,English,11-50,Startup,60000
42,Female,Berlin,QA Engineer,20,1,Middle,python,English,1000+,Product,55000
40,Female,Munich,Software Engineer,20,7,Middle,Java,German,101-1000,Behörde,54000
37,Male,Berlin,Software Engineer,8,5,Junior,Java,English,51-100,Product,60000
33,Male,Munich,Software Engineer,10,3,Senior,Java,English,101-1000,Product,82500
38,Male,Cologne,Software Engineer,11,5,Senior,PHP,English,101-1000,Product,55000
27,Male,Munich,Frontend Developer,4,0,Senior,Frontend,English,51-100,Product,60000
33,Male,Berlin,Software Engineer,7,7,Senior,"Java, JavaScript",English,1000+,Consulting / Agency,129000
36,Female,Munich,Backend Developer,5,1,Middle,PHP,English,101-1000,Product,65000
42,Male,Berlin,DevOps,22,4,Lead,yaml,English,1000+,Startup,70000
32,Male,Frankfurt,Network Engineer ,10,2,Senior,Python ,English,101-1000,Product,74500
31,Male,Berlin,Frontend Developer,10,1.5,Senior,Javascript,English,51-100,Startup,71161
33,Female,Berlin,QA Engineer,6,0.5,Middle,Java,English,101-1000,Startup,60000
40,Male,Berlin,VP Engineering,10,7,VP,JS,English,51-100,Product,100000
28,Male,Munich,Backend Developer,6,5,Senior,Java,English,101-1000,Consulting / Agency,72000
31,Male,Berlin,Software Engineer,9,4,Senior,Python,English,1000+,Product,90000
28,Male,Berlin,Mobile Developer,5,1.5,Lead,Swift,English,11-50,Consulting / Agency,70800
29,Male,Berlin,Software Engineer,8,3,Middle,PHP,English,11-50,Startup,55000
40,Male,Munich,Mobile Developer,25,2,Lead,Swift,English,11-50,Product,90000
46,Male,Munich,QA Engineer,13,13,Senior,Java,German,101-1000,Product,78500
33,Male,Berlin,Backend Developer,5,2,Middle,Java,English,101-1000,Product,136000
33,Male,Berlin,ML Engineer,10,5,Middle,Python,English,51-100,Startup,62000
34,Male,Berlin,Software Engineer,14,4,Lead,Java,English,1000+,Product,100000
36,Male,Berlin,Backend Developer,18,1,Senior,PHP,English,101-1000,Product,135000
33,Female,Berlin,QA Engineer,8,1.5,Senior,-,English,11-50,Startup,50000
32,Male,Berlin,Software Engineer,11,6,Lead,Android,English,101-1000,Product,80000
46,Male,Berlin,Software Engineer,14,14,Senior,JavaScript,English,51-100,Product,80000
30,Male,Munich,Mobile Developer,8,1,Senior,Kotlin,English,1000+,Product,66000
31,Male,Berlin,Data Scientist,10,5,Lead,Python ,English,1000+,Product,185000
46,Male,Munich,Scrum Master,12,8,Senior,Agile,German,1000+,Product,95000
26,Male,Berlin,Mobile Developer,6,2,Senior,Kotlin,English,101-1000,Product,70000
31,Male,Mannheim ,Firmware Engineer,10,3,Senior,C,English,11-50,Product,45000
31,Male,Munich,Frontend Developer,12,1.5,Lead,"TypeScript, JavaScript",English,11-50,Startup,88000
30,Female,Berlin,QA Engineer,5,3,Middle,Python ,German,101-1000,Product,54000
35,Male,Munich,Software Engineer,13,4,Lead,Pegasystems platform ,English,51-100,Consulting / Agency,146000
33,Male,Berlin,Software Engineer,12,5,Senior,Javascript,English,101-1000,Product,120000
36,Male,Berlin,Software Engineer,7,5,Middle,"C++, Java, Embedded C",English and German,up to 10,Product,42000
36,Male,Munich,Solutions Architect,12,5,Lead,Cloud,English,1000+,Product,130000
38,Male,Frankfurt,Data Center Manager,6,2,Work Center Manager,DC Management,English,1000+,Product,80000
35,Female,Berlin,Software Engineer,15,6,Senior,C#,German,1000+,Product,76000
32,Male,Munich,Fullstack Developer,9,2,Senior,Java,English,11-50,Product,74000
29,Male,Berlin,Software Engineer,8,2,Senior,Go,English,1000+,Product,75000
30,Male,Rosenheim,Software Engineer,9,5,Middle,Java,German,101-1000,Product,63000
35,Male,Berlin,ML Engineer,10,2,Lead,Scala,English,11-50,Product,100000
29,Male,Berlin,Software Engineer,7,5,Senior,Python,English,101-1000,Startup,64000
30,Female,Munich,Mobile Developer,10,3.5,Senior,Swift,English,1000+,Product,70000
25,Male,Berlin,Software Engineer,6,1,Middle,Java,English,1000+,Big commercial,87500
43,Male,Berlin,Software Engineer,20,4,Senior,Python,English,1000+,Product,79000
38,Male,Berlin,Software Engineer,16,1,Senior,Python,English,1000+,Product,65000
26,Male,Berlin,Software Engineer,5,2,Middle,Scala,English,101-1000,Product,73300
25,Female,Munich,Product Manager,3,0.5,Middle,--,English,1000+,Product,62000
34,Male,Munich,Software Engineer,12,5,Lead,python,English,11-50,Product,95000
27,Male,Berlin,Backend Developer,5,1,Middle,Java,English,1000+,Product,65000
30,Male,Berlin,Mobile Developer,3,2,Senior,Swift,English,11-50,Startup,58000
34,Male,Berlin,Data Scientist,5,5,Middle,Python,English,101-1000,Product,70000
36,Female,Berlin,QA Engineer,14,7,Lead,Java,English,11-50,Product,75900
27,Male,Berlin,Backend Developer,5,1,Middle,Java,English,1000+,Product,65000
45,Male,Berlin,Mobile Developer,10,4,Lead,SWIFT,English,101-1000,Product,79000
35,Male,Berlin,Backend Developer,6,2,Senior,"Java, angular, Aws",English,51-100,Product,76000
36,Male,Berlin,Engineering Manager,7,1,Lead,"Swift, objective-c",English,1000+,Product,175000
32,Male,Stuttgart,QA Engineer,9,9,Senior,Java,German,1000+,Consulting / Agency,64700
33,Male,Boeblingen,DevOps,14,4,Senior,Golang,English,101-1000,Product,70000
30,Male,Berlin,Backend Developer,10,2,Middle,PHP,English,1000+,Product,56000
35,Male,Berlin,Software Engineer,15,4,Senior,go,English,51-100,Startup,70000
24,Male,Boeblingen,C/C++/Java developer,0.8,0.8,Junior,Java,English,11-50,Product,48101
25,Male,Stuttgart,Backend Developer,4,2,Middle,Java,German,101-1000,Consulting / Agency,60000
29,Male,Berlin,Mobile Developer,8,4,Senior,Kotlin,English,101-1000,Product,65000
32,Male,Berlin,DevOps Manager,10,3,Lead,DevOps,English,1000+,Product,100000
32,Male,Düsseldorf,Software Engineer,11,7,Senior,.net,English,1000+,Consulting / Agency,122000
24,Male,Munich,Software Engineer,3,2,Middle,Node.js,English,1000+,Consulting / Agency,76000
24,Female,Stuttgart,Software Engineer,2,1,Middle,iOS,English,11-50,Consulting / Agency,57200
56,Male,Ingolstadt,Software Engineer,9,9,Senior,R,German,1000+,Product,75000
25,Male,Munich,ML Engineer,1,1,Middle,Python,English,1000+,Product,67000
28,Male,Stuttgart,Software Engineer,8,1,Senior,C++,English,1000+,Outsorce,67200
30,Male,Munich,Software Engineer,7,5,Senior,C++,English,1000+,Product,175000
26,Female,Berlin,Software Engineer,6,4,Senior,.NET,English,101-1000,Product,66000
31,Female,Stuttgart,Data Scientist,4,2,Middle,R,German,1000+,Product,138000
31,Male,Munich,Software Engineer,9,1,Middle,C++,English,1000+,Product,115000
29,Female,Stuttgart,QA Engineer,6,2,Middle,JS,English,101-1000,Product,54000
33,Male,Munich,Backend Developer,15,3,Lead,Scala,English,11-50,Startup,110000
26,Male,Munich,ML Engineer,1.5,1.5,Junior,Python,German,101-1000,Consulting / Agency,58000
30,Female,Frankfurt,QA Engineer,6,4,Senior,Bash,German,1000+,Bank ,72000
34,Male,Berlin,Software Engineer,14,5,Senior,C#,English,101-1000,Product,72000
37,Male,Berlin,Team Lead,12,10,Head,Python,English,11-50,Consulting / Agency,90000
38,Male,Frankfurt,Tech Lead,16,1,Lead,.Net,English,101-1000,Fintech,211000
28,Male,Munich,Network Administrator,9,3,Senior,Network,English,1000+,Automotive,68500
31,Male,Berlin,QA Engineer,10,5,Senior,nothing,English,1000+,Product,137000
29,Male,Düsseldorf,Consultant Data Analytics,1,1,Junior,Python,German,1000+,Consulting / Agency,47000
39,Male,Munich,BI IT Consultant,5,5,Middle,"Qlik BI Tool, SQL",German,1000+,Product,73000
29,Male,Munich,Backend Developer,8,4,Senior,Java,English,1000+,Product,102000
36,Male,Nürnberg,Frontend Developer,1,0.5,Junior,Javascript,German,up to 10,Startup,37500
33,Male,Berlin,iOS Developer,10,2,Middle,Swift,English,1000+,Product,67000
37,Male,Berlin,Cloud Engineer,15,3,Senior,Cloud,English,1000+,Product,82000
30,Male,Ansbach,Software Engineer,4,3,Junior,PHP,English,101-1000,Product,42000
34,Male,Munich,Solutions architect,14,6,Head,Blockchain,English,101-1000,Startup,105000
43,Male,Berlin,Backend Developer,5,1.5,Middle,Java,English,101-1000,Product,70000
32,Female,Stuttgart,Stuttgart,2,2,Junior,Java,English,1000+,Product,56000
34,Male,Leipzig,Mobile Developer,14,2,Senior,Android,English,101-1000,Consulting / Agency,120000
29,Male,Berlin,Backend Developer,9,5,Senior,Java,English,1000+,Product,85000
37,Male,Berlin,Frontend Developer,14,5,Senior,Angular,English,1000+,IT Department of established business,84000
41,Male,Munich,Senior Program Manager,19,5,Senior,Autonomous Driving,English,101-1000,Product,123600
33,Male,Mannheim,Software Engineer,6,2,Middle,c#,English,51-100,Startup,49000
33,Female,Berlin,QA Engineer,9,2,Middle,Java,English,101-1000,Startup,57000
40,Male,Munich,QA Engineer,18,14,Lead,Java,German,1000+,Product,86000
38,Male,Munich,Backend Developer,12,12,Senior,Java,German,101-1000,Telecommunications,71500
29,Male,Munich,Frontend Developer,5,"3,5",Middle,"Js, TypeScript, Angular",English,101-1000,Product,57000
27,Male,Berlin,Backend Developer,7,0,Senior,go,English,11-50,Product,87000
38,Male,Munich,ML Engineer,10,3,Lead,Python,English,51-100,Consulting / Agency,92101
42,Male,Berlin,ML Engineer,20,20,Senior,Python,German,1000+,Product,80000
45,Female,Frankfurt,DB developer/Data analyst,6,0.9,Senior,T-SQL,English,11-50,Product,55000
38,Male,Hamburg,Software Engineer,12,6,Senior,Java,English,51-100,Product,80000
30,Male,Berlin,Software Engineer,11,2,Senior,Kotlin,English,11-50,Startup,55000
32,Male,Berlin,Software Engineer,9,5,Lead,JavaScript,English,101-1000,Product,90000
41,Male,Munich,Backend Developer,21,3,Senior,Java,English,101-1000,Product,80000
34,Male,Berlin,Security Engineer,10,4,Senior,python,English,1000+,Product,110000
45,Male,Berlin,Software Engineer,25,20,Lead,c++,German,1000+,Product,95000
34,Male,Berlin,DevOps,6,6,Middle,"Java, terraform",German,1000+,Media,132000
25,Male,Stuttgart,Backend Developer,7,1,Senior,PHP,English,11-50,Startup,60000
32,Male,Berlin,Software Engineer,12,1.5,Senior,iOS,English,51-100,Product,66800
65,Male,Berlin,Software Engineer,25,25,Senior,"Pascal, VB.NET, C#",German,51-100,Product,55000
33,Male,Munich,Business Analyst,10,4,Senior,Java,English,101-1000,Product,70000
34,Male,Berlin,ML Engineer,12,3,Senior,Python,English,1000+,Product,90000
28,Male,Berlin,Backend Developer,7,1,Senior,PHP,English,101-1000,Product,70000
39,Male,Munich,DBA,17,5,Senior,Oracle,English,101-1000,Product,134000
30,Male,Berlin,Backend Developer,7,2,Senior,Ruby,English,11-50,Product,72000
34,Male,Berlin,DevOps,12,2,Senior,Java,English,101-1000,Product,70000
35,Male,Berlin,Support Engineer,10,4,Senior,PHP,English,101-1000,Product,127000
35,Female,Berlin,Frontend Developer,12,5,Middle,Javascript ,English,101-1000,E-commerce,70000
34,Male,Berlin,Frontend Developer,10,3,Senior,"Angular, React",English,11-50,Startup,68000
34,Male,Berlin,Software Engineer,12,2,Lead,.net,German,1000+,Product,86000
35,Male,Berlin,Software Engineer,8,1,Senior,Elixir,English,101-1000,Startup,75000
38,Male,Berlin,Software Engineer,13,6,Lead,Java,English,1000+,Product,109810
34,Female,Berlin,Software Engineer,9,3,Senior,Kotlin,English,101-1000,Product,81000
31,Male,Berlin,Mobile Developer,7,"3,5",Senior,iOS,English,1000+,Product,80000
34,Male,Berlin,Backend Developer,15,5,Senior,Elixir,English,51-100,Product,140000
29,Female,Munich,Software Engineer,5,4,Middle,"NodeJS, Typescript, AWS",English,101-1000,Product,72000
37,Male,Berlin,Software Engineer,15,3,Senior,Scala,English,1000+,Product,90000
44,Male,Stuttgart,Software Engineer,22,3,Senior,Erlang,English,51-100,Startup,76000
30,Male,Munich,Frontend Developer,9,3,Middle,TypeScript,English,101-1000,Product,66000
26,Male,Frankfurt,Consultant,4,4,Middle,JavaScript,German,101-1000,Consulting / Agency,135000
46,Male,Berlin,Software Engineer,14,14,Senior,JavaScript,English,51-100,Product,80000
27,Male,Tuttlingen,Software Engineer,4,4,Junior,C#,German,up to 10,Product,48000
38,Male,Stuttgart,Software Engineer,15,8,Senior,C#,English,11-50,Product,56400
32,Male,Munich,Backend Developer,11,3.5,Senior,PHP,English,1000+,Product,162400
26,Male,Frankfurt,Backend Developer,7,1.5,Senior,Java,English,101-1000,Product,65000
29,Male,Berlin,Software Engineer,12,3,Senior,Go,English,101-1000,Product,150000
32,Male,Nürnberg,Testautomation,8,2,Senior,"Java, JS",German,101-1000,Consulting / Agency,60000
29,Male,Bonn,Mobile Developer,5,2,Middle,Objective-C,English,11-50,Product,59000
33,Male,Hamburg,Software Engineer,10,3,Senior,Ruby,English,101-1000,Product,75000
32,Male,Munich,QA Engineer,9,3,Senior,QA,English,101-1000,Product,76000
34,Male,Berlin,Software Engineer,10,10,Senior,C++,English,101-1000,Product,88000
31,Male,Moscow,Data Scientist,2.5,0,Lead,Python,Russian,1000+,Bank,26500
33,Male,Munich,Software Engineer,10,4,Senior,C#,German,51-100,Product,78000
32,Male,Berlin,Backend Developer,4,1,Senior,Ruby,English,51-100,Product,65000
47,Male,Hamburg,Software Engineer,22,10,Senior,C++/C#,English,up to 10,Product,92000
29,Male,Berlin,Backend Developer,8,1.5,Middle,Go,English,101-1000,Product,65000
28,Male,Munich,Software Engineer,5,6,Senior,C++,English,up to 10,Startup,69000
25,Male,Hamburg,Data Scientist,2,2,Middle,Python,German,11-50,Product,53000
32,Male,Munich,SAP Developer,9,1,Senior,ABAP,German,1000+,Consulting / Agency,75800
45,Male,Munich,Frontend Developer,3,< 1,Senior,Javascript / Typescript,Russian,11-50,Startup,70000
26,Male,Frankfurt,Software Engineer,3,1,Middle,Python ,English,51-100,Consulting / Agency,48000
29,Male,Munich,Mobile Developer,8,0.25,Senior,Java/Kotlin,English,11-50,Consulting / Agency,65400
40,Male,Berlin,Backend Developer,18,2.5,Senior,php,English,1000+,Product,60000
27,Male,Munich,Software Engineer,5,1,Senior,Typescript / Angular,English,1000+,Product,76000
27,Male,Munich,Software Engineer,5,1,Senior,Javascript,English,51-100,Product,65000
22,Male,Warsaw,Backend Developer,3,0,Middle,PHP,Polish,51-100,Consulting / Agency,27000
30,Male,Berlin,DevOps,9,5,Lead,Kubernetes,English,101-1000,Product,90000
30,Male,Hamburg,Software Engineer,6,0,Middle,.NET,English,101-1000,Product,66000
29,Male,Munich,SW Architect,8,3,Senior,C++,English,1000+,Product,73400
37,Male,Heidelberg,Software Engineer,15,7,Senior,ABAP,English,1000+,Product,75000
28,Male,Berlin,SRE,6,1.5,Middle,Kubernetes,English,1000+,Product,66122.13
28,Female,Berlin,Software Engineer,8,0,Lead,Javascript,English,101-1000,Product,80000
28,Male,Stuttgart,Backend Developer,5,1.5,Middle,Java,German,101-1000,Product,60000
33,Male,Berlin,Software Engineer,13,3,Senior,Ruby,English,1000+,Product,95000
40,Male,Frankfurt,Software Engineer,22,3,Senior,Java,German,1000+,Product,77000
28,Male,Munich,"Fullstack engineer, ну или Software engineer",9,1,Senior,React/Typescript,English,up to 10,Startup,60000
29,Male,Berlin,Backend Developer,11,2,Senior,Python,English,51-100,Product,89000
24,Male,Aachen,HiWi,3,2,Junior,Python,English,11-50,University,10164
31,Male,Munich,Software Engineer,11,1,Middle,Python,English,1000+,Product,75000
44,Male,Munich,Software Engineer,28,6,Senior,C#,English,51-100,Product,78500
32,Male,Berlin,Software Engineer,12,1,Senior,Java,English,1000+,Product,83500
33,Male,Berlin,Software Engineer,10,1,Middle,iOS,English,1000+,Product,65000
46,Male,Munich,Software Engineer,10,2,Senior,Python ,English,51-100,Startup,68500
27,Male,Berlin,Frontend Developer,8,1,Middle,Angular,English,51-100,Product,45000
32,Male,Berlin,Backend Developer,5,3,Middle,Ruby,English,11-50,Product,72000
34,Male,Berlin,Software Engineer,15,2,Lead,Java,English,1000+,Product,92000
26,Male,"Riga, Latvia",Software Engineer,4,0,Middle,javascript,English,101-1000,Consulting / Agency,24000
41,Male,Berlin,Software Engineer,19,7,Lead,Python,English,1000+,Product,110000
35,Male,Cologne,Software Engineer,14,7,Senior,C++,English,101-1000,Product,149000
26,Male,Hamburg,Software Engineer,7,3.5,Senior,TypeScript,German,101-1000,Consulting / Agency,72000
24,Male,Munich,Software Engineer,3,2,Middle,Java/C++,English,1000+,Product,121100
35,Male,Hamburg,Software Engineer,13,3,Lead,Scala / Python,English,51-100,Startup,110000
31,Male,Dusseldorf,Software Engineer,7,3,Senior,C++,English,1000+,Product,100800
25,Male,Berlin,Backend Developer,5,0,Middle,Java,English,1000+,Startup,80000
30,Male,Moscow,Software Engineer,5,0,Middle,C,Russian,101-1000,Product,14712
35,Male,Berlin,QA Engineer,11,10,Senior,Java,English,101-1000,Product,74400
37,Male,Hamburg,Software Engineer,15,5,Senior,Java,English,11-50,Startup,70000
36,Male,Hamburg,Backend Developer,10,5,Senior,Java/Scala,German,51-100,Product,82000
32,Female,Cologne,Data Scientist,4,4,Senior,Python,English,1000+,consumer goods,173000
23,Male,Berlin,Software Engineer,4,1,Middle,Javascript,English,1000+,Product,70500
39,Male,Stuttgart,Software Engineer,11,3,Lead,PHP,English,101-1000,Product,75000
